,contest,winner,loser,time
167,5172253195962344,58,55,2020-09-05 23:17:25.775000
168,1310290648605,47,45,2020-09-05 23:17:25.775000
169,3692629411486235,54,50,2020-09-05 23:17:25.775000
170,4624185563420741,73,91,2020-09-05 23:17:25.775000
171,5116553514697926,64,62,2020-09-05 23:17:25.775000
172,6533509238247020,62,59,2020-09-05 23:17:25.775000
173,6628535934628119,54,50,2020-09-05 23:17:25.775000
174,1396170313240948,58,62,2020-09-06 00:17:19.563000
175,4203314804686876,55,51,2020-09-06 00:17:19.563000
176,5678219441963756,58,56,2020-09-06 00:17:19.563000
177,7731084518574492,43,52,2020-09-06 00:17:19.563000
178,799110348479983,77,79,2020-09-06 01:09:51.441000
179,8073675887837343,75,75,2020-09-06 01:09:51.441000
180,2336574301459923,0,57,2020-09-06 01:09:51.441000
181,2425571415789545,55,50,2020-09-06 01:09:51.441000
182,7893541071595003,46,18,2020-09-06 01:09:51.441000
183,1318882445149834,52,52,2020-09-06 02:10:21.606000
184,1418337156028235,0,58,2020-09-06 02:10:21.606000
185,2104174171916003,72,71,2020-09-06 02:10:21.606000
186,1685289560157738,18,36,2020-09-06 03:24:03.546000
187,459645238001703,63,59,2020-09-06 03:24:03.546000
188,609353525916162,66,56,2020-09-06 03:24:03.546000
189,6818325931783365,84,75,2020-09-06 04:12:45.958000
190,5118394470593218,60,55,2020-09-06 04:12:45.958000
191,4915917594049701,70,73,2020-09-06 04:12:45.958000
192,5779918156100779,70,51,2020-09-06 04:12:45.958000
193,6959900336530193,63,59,2020-09-06 04:12:45.958000
194,7605134438164170,67,59,2020-09-06 04:12:45.958000
195,8398839247731316,72,67,2020-09-06 04:12:45.958000
196,2041030043633756,52,56,2020-09-06 05:08:33.043000
197,305081886711024,59,50,2020-09-06 05:08:33.043000
198,4208299863805390,51,45,2020-09-06 05:08:33.043000
199,5101568438951052,55,55,2020-09-06 05:08:33.043000
200,6290022991990780,49,44,2020-09-06 05:08:33.043000
201,737820833364553,51,45,2020-09-06 05:08:33.043000
202,7842116872251108,61,64,2020-09-06 05:08:33.043000
203,7249047606677559,74,74,2020-09-06 06:14:39.346000
204,8939430978825997,57,55,2020-09-06 06:14:39.346000
205,3675775960546200,56,51,2020-09-06 06:14:39.346000
206,6065977106701695,71,70,2020-09-06 06:14:39.346000
207,5886769511284427,71,67,2020-09-06 07:19:40.100000
208,2923164125619271,48,53,2020-09-06 07:19:40.100000
209,3336143494288810,56,60,2020-09-06 07:19:40.100000
210,3390208583561784,68,63,2020-09-06 08:16:47.430000
211,3601975139596119,58,63,2020-09-06 08:16:47.430000
212,3704254965044168,55,51,2020-09-06 08:16:47.430000
213,5097547707149805,87,73,2020-09-06 08:16:47.430000
214,6363523432091232,74,78,2020-09-06 09:31:00.094000
215,7477358763990653,53,72,2020-09-06 09:31:00.094000
216,7570180853623895,60,60,2020-09-06 09:31:00.094000
217,2866478581712470,83,60,2020-09-06 10:16:11.538000
218,6479411177719443,83,60,2020-09-06 10:16:11.538000
219,8848638326959932,57,45,2020-09-06 11:13:08.409000
220,6165890743514170,78,85,2020-09-06 11:13:08.409000
221,1986560203751460,83,74,2020-09-06 11:13:08.409000
222,4898291530713397,60,60,2020-09-06 14:11:35.299000
223,7621651571519837,78,71,2020-09-06 15:18:50.405000
224,6165439470673090,58,60,2020-09-06 15:18:50.405000
225,796141527126225,58,57,2020-09-06 15:18:50.405000
226,5292628286242667,81,75,2020-09-06 15:18:50.405000
227,5351861049568539,75,71,2020-09-06 15:18:50.405000
228,7079765922571703,43,47,2020-09-06 15:18:50.405000
229,8521632039749998,46,47,2020-09-06 15:18:50.405000
230,6439977506713520,75,69,2020-09-06 16:20:32.251000
231,166108140595897,75,57,2020-09-06 17:15:16.102000
232,6657110161810803,74,73,2020-09-06 17:15:16.102000
233,1010654503855957,67,70,2020-09-06 17:15:16.102000
234,3854752447806938,42,36,2020-09-06 17:15:16.102000
235,5211595725999667,64,62,2020-09-06 17:15:16.102000
236,1749083425114544,64,69,2020-09-06 17:15:16.102000
237,5999151891492136,58,63,2020-09-06 17:15:16.102000
238,7212766392242122,63,54,2020-09-06 17:15:16.102000
239,7930210892528409,44,36,2020-09-06 17:15:16.102000
240,8449387194954632,70,68,2020-09-06 18:20:31.044000
241,1753425966986080,71,68,2020-09-06 19:23:59.060000
242,2664101480035944,64,59,2020-09-06 19:23:59.060000
243,4264670929237826,58,52,2020-09-06 19:23:59.060000
244,7317578122159975,56,56,2020-09-06 19:23:59.060000
245,8469252398774092,56,55,2020-09-06 19:23:59.060000
246,7093281502653288,67,63,2020-09-06 20:27:42.058000
247,4820453550032815,56,59,2020-09-06 20:27:42.058000
248,5535968666035179,59,51,2020-09-06 20:27:42.058000
249,5905649413717787,84,83,2020-09-06 20:27:42.058000
250,673872328092527,71,76,2020-09-06 20:27:42.058000
251,7025621695960231,81,85,2020-09-06 20:27:42.058000
252,4240701406525457,83,79,2020-09-06 21:13:49.481000
253,2697993096604900,41,44,2020-09-06 21:13:49.481000
254,653635341032515,57,64,2020-09-06 22:13:52.572000
255,2644932547138192,84,82,2020-09-06 22:13:52.572000
256,6620005299299828,52,57,2020-09-06 22:13:52.572000
257,7444698763150294,57,57,2020-09-06 23:14:07.881000
258,2059019527801,61,62,2020-09-06 23:14:07.881000
259,7015790783707193,58,57,2020-09-06 23:14:07.881000
260,4997268565446308,55,56,2020-09-07 00:12:35.625000
